distancia_ejes_mm,holgura_guia_mm,masa_cuerpo_g,cumple,num_fallos
189.7039,0.2813,51.4087,1,0
190.0042,0.4585,51.3623,1,0
190.0582,0.2388,51.7052,1,0
189.8968,0.3799,51.5598,1,0
189.9806,0.4702,51.1054,1,0
190.133,0.58,50.9815,1,0
190.0117,0.4748,50.9376,1,0
190.1806,0.5569,51.0646,1,0
190.1132,0.4313,50.6171,1,0
189.9413,0.4517,51.3756,1,0
189.8444,0.3801,50.4959,1,0
190.1605,0.4406,51.2495,1,0
190.1897,0.3708,51.112,1,0
189.9371,0.5939,51.1509,1,0
190.0343,0.4359,50.8826,1,0
189.9376,0.4425,50.4286,1,0
189.9592,0.3644,52.381,1,0
190.118,0.4983,51.4173,1,0
189.9534,0.4259,50.2804,1,0
189.8759,0.5291,50.741,1,0
190.1662,0.5438,52.1257,1,0
190.0345,0.3211,51.3064,1,0
189.931,0.4062,51.2351,1,0
190.1413,0.4172,51.0401,1,0
189.8251,0.4255,51.1924,1,0
190.2758,0.4885,51.9726,1,0
190.1222,0.4266,50.6659,1,0
190.11,0.4571,50.9294,1,0
189.74,0.5147,51.1381,1,0
190.0854,0.4245,51.7587,1,0
189.8708,0.5296,50.6868,1,0
190.1103,0.4321,50.9362,1,0
189.7056,0.4677,50.403,1,0
189.6223,0.3855,50.8577,1,0
190.1393,0.4288,50.0409,1,0
190.1955,0.4909,51.4897,1,0
189.8313,0.3914,50.4843,1,0
190.1535,0.4667,52.1674,1,0
189.8904,0.3989,50.7977,1,0
189.7768,0.4137,51.2973,1,0
190.055,0.3961,51.3565,1,0
189.9371,0.465,51.2622,1,0
190.2196,0.4699,51.286,1,0
189.597,0.4228,51.3777,1,0
190.3528,0.538,51.0624,1,0
190.2082,0.4289,51.5351,1,0
189.6534,0.3457,50.995,1,0
190.1174,0.5001,51.7386,1,0
190.0238,0.4559,51.7658,1,0
189.8016,0.4141,51.5041,1,0
190.0664,0.497,51.5225,1,0
189.884,0.403,50.8177,1,0
189.7301,0.4748,50.9326,1,0
190.2453,0.4346,51.7682,1,0
189.7694,0.4604,51.8666,1,0
189.94,0.3792,51.386,1,0
190.0969,0.4821,51.0373,1,0
190.1846,0.439,52.358,1,0
190.0396,0.5743,51.6104,1,0
190.135,0.4468,50.823,1,0
189.9216,0.4828,52.0821,1,0
190.0245,0.3729,51.6453,1,0
190.0403,0.3038,50.835,1,0
190.152,0.3965,51.9864,1,0
190.1394,0.3766,51.2198,1,0
190.0462,0.4339,50.8963,1,0
189.8021,0.4685,51.3533,1,0
190.0734,0.3487,51.1623,1,0
189.7352,0.5144,50.9334,1,0
189.8383,0.4178,51.1976,1,0
190.3353,0.5004,50.353,1,0
189.818,0.4519,50.7639,1,0
190.0023,0.4907,51.4671,1,0
189.7341,0.3882,52.053,1,0
190.4114,0.5007,49.9238,0,1
189.9487,0.3864,52.0647,1,0
189.8422,0.391,51.737,1,0
189.9196,0.3473,50.794,1,0
190.034,0.4409,52.3984,1,0
189.9648,0.6196,50.551,1,0
190.0239,0.3176,51.5405,1,0
189.9464,0.4498,50.9516,1,0
189.8064,0.4112,51.5228,1,0
189.8774,0.282,51.1656,1,0
190.0198,0.3663,50.5515,1,0
190.0338,0.5138,50.6341,1,0
189.9481,0.4053,51.1775,1,0
190.0781,0.4459,50.9245,1,0
189.8676,0.4797,50.8714,1,0
189.7685,0.3987,50.977,1,0
190.0419,0.5745,51.8503,1,0
189.9459,0.4598,51.286,1,0
190.1757,0.4426,51.5195,1,0
189.9717,0.4303,51.396,1,0
189.891,0.3393,51.5806,1,0
189.9389,0.5047,50.938,1,0
190.1043,0.4384,51.4234,1,0
189.9602,0.4391,51.4646,1,0
189.8769,0.3781,50.9581,1,0
189.7569,0.2996,50.2756,1,0
190.1287,0.4215,51.3068,1,0
189.897,0.5291,51.3991,1,0
190.0539,0.4465,51.6801,1,0
189.7904,0.5412,50.9102,1,0
190.0704,0.3298,51.1795,1,0
189.9976,0.519,50.6299,1,0
189.9902,0.475,51.2574,1,0
189.8112,0.4874,51.8663,1,0
190.0675,0.5301,50.392,1,0
189.8982,0.4807,50.6579,1,0
190.1446,0.6198,52.1091,1,0
189.9216,0.4594,51.8763,1,0
189.9976,0.4642,51.4502,1,0
190.1745,0.3965,51.9886,1,0
189.9829,0.3846,51.4363,1,0
189.8456,0.3765,50.5688,1,0
189.969,0.4554,50.6846,1,0
190.0025,0.3714,50.9459,1,0
190.0463,0.4571,51.565,1,0
190.0508,0.428,51.2232,1,0
190.0601,0.4559,50.3734,1,0
190.1403,0.3124,51.9956,1,0
189.9498,0.4472,51.5654,1,0
189.8975,0.4581,50.0583,1,0
189.9322,0.5131,50.5445,1,0
189.7384,0.4547,50.3412,1,0
190.1788,0.4706,50.7066,1,0
190.0443,0.3085,50.7807,1,0
190.228,0.39,51.6926,1,0
190.1551,0.4795,50.9207,1,0
189.8223,0.4381,52.3466,1,0
190.0164,0.3708,51.4976,1,0
189.9887,0.4448,50.8541,1,0
190.1006,0.4266,51.0229,1,0
189.8873,0.5102,51.5804,1,0
189.98,0.3778,51.6845,1,0
189.9026,0.4105,51.371,1,0
190.0599,0.51,52.0368,1,0
189.9994,0.4767,51.3787,1,0
189.9068,0.3824,50.8062,1,0
190.0022,0.5906,51.3686,1,0
189.9081,0.4939,51.3367,1,0
190.0303,0.5618,51.6775,1,0
189.9372,0.3509,50.9162,1,0
189.7869,0.5112,51.1323,1,0
190.0734,0.351,51.0169,1,0
190.1955,0.4131,50.6408,1,0
189.784,0.5005,51.5004,1,0
189.998,0.491,50.8551,1,0
189.9563,0.4934,50.9444,1,0
189.8051,0.5786,51.1773,1,0
189.8761,0.5015,50.745,1,0
190.3199,0.4007,51.081,1,0
189.9124,0.4342,51.9216,1,0
190.1264,0.5089,50.4912,1,0
190.0014,0.5598,51.731,1,0
190.087,0.4465,50.8702,1,0
189.727,0.3164,51.7421,1,0
189.884,0.3806,50.5818,1,0
189.9898,0.419,52.2465,1,0
189.8907,0.5497,51.3668,1,0
190.0303,0.3797,51.6404,1,0
190.0519,0.5582,51.3793,1,0
189.9176,0.3919,51.241,1,0
190.0229,0.5685,50.9088,1,0
190.2676,0.4276,51.8647,1,0
190.3842,0.4764,50.5578,1,0
190.0829,0.5507,50.8361,1,0
189.8949,0.3542,51.0501,1,0
189.7837,0.4767,51.4816,1,0
189.7774,0.5138,50.6219,1,0
190.0407,0.3927,51.1442,1,0
189.8916,0.3801,51.4224,1,0
190.3293,0.3929,51.6253,1,0
190.0621,0.494,51.3503,1,0
190.348,0.4857,50.606,1,0
190.0431,0.4848,50.5788,1,0
189.856,0.4686,52.6963,1,0
190.1981,0.4893,51.2984,1,0
190.0745,0.487,51.2705,1,0
190.0179,0.5072,50.4638,1,0
190.1462,0.5007,52.06,1,0
190.0514,0.4332,51.0916,1,0
190.2237,0.3814,51.2252,1,0
190.1956,0.5041,50.943,1,0
190.137,0.4111,49.7293,0,1
190.151,0.4163,51.1754,1,0
189.7384,0.4382,51.4883,1,0
189.9514,0.4232,51.934,1,0
189.7986,0.3443,51.7413,1,0
190.039,0.4324,51.4452,1,0
190.1201,0.4464,51.3447,1,0
190.0397,0.3833,50.8422,1,0
190.2045,0.4586,50.2326,1,0
190.2326,0.4161,50.7073,1,0
189.9,0.3914,51.402,1,0
190.0985,0.4036,51.2538,1,0
189.976,0.5157,52.3797,1,0
189.8787,0.4026,50.7435,1,0
189.8417,0.4224,51.5178,1,0
190.205,0.4602,50.7816,1,0
189.9575,0.5671,50.7196,1,0
190.1427,0.3645,50.5053,1,0
190.1317,0.4186,51.9582,1,0
190.0199,0.3573,50.9028,1,0
189.7937,0.5763,51.5951,1,0
189.861,0.51,51.977,1,0
189.9748,0.5509,50.3914,1,0
190.2025,0.549,52.1799,1,0
189.6408,0.5421,51.724,1,0
190.1147,0.5761,51.7616,1,0
190.0535,0.4662,50.8279,1,0
189.8895,0.4094,51.1739,1,0
189.7048,0.4262,50.8225,1,0
190.0136,0.4079,51.7317,1,0
190.2548,0.3596,51.7164,1,0
189.8845,0.6503,51.4455,1,0
190.123,0.5435,51.3092,1,0
190.2463,0.5243,51.8803,1,0
190.1348,0.4301,50.8469,1,0
190.0785,0.4768,51.3642,1,0
190.0936,0.4503,51.214,1,0
189.9091,0.453,51.3647,1,0
190.0671,0.4639,51.4298,1,0
189.6409,0.47,50.3351,1,0
189.7882,0.3527,51.0444,1,0
189.9224,0.4519,51.8802,1,0
189.9671,0.4339,50.529,1,0
189.8659,0.5182,51.3446,1,0
190.2667,0.4557,51.8424,1,0
189.6596,0.5444,50.3587,1,0
189.9979,0.3242,50.3925,1,0
189.9137,0.4853,51.8382,1,0
190.0219,0.463,51.0032,1,0
189.9408,0.3459,51.3797,1,0
189.8871,0.4934,50.0715,1,0
190.1117,0.3976,51.7483,1,0
189.9953,0.3028,51.3276,1,0
190.0907,0.4201,51.33,1,0
189.8154,0.3995,51.3225,1,0
190.0128,0.4294,50.9144,1,0
190.225,0.4187,50.7698,1,0
190.1361,0.5474,50.9141,1,0
190.023,0.3497,51.4931,1,0
190.0284,0.518,51.3268,1,0
190.3376,0.367,51.4336,1,0
190.071,0.4051,51.4161,1,0
190.0676,0.3727,51.2447,1,0
189.8675,0.3931,52.0828,1,0
189.8441,0.4,51.1303,1,0
190.0468,0.3708,51.6905,1,0
190.4087,0.4829,50.6531,1,0
190.1241,0.5169,51.8336,1,0
189.7719,0.5675,51.3814,1,0
189.848,0.341,51.9799,1,0
190.0867,0.5017,50.8891,1,0
190.2199,0.5474,50.9215,1,0
190.0135,0.405,51.3841,1,0
189.8461,0.5312,51.5729,1,0
190.0977,0.5388,50.4384,1,0
190.084,0.4085,51.7851,1,0
189.9464,0.5022,50.9072,1,0
190.1092,0.4336,51.0146,1,0
189.9476,0.4307,50.2428,1,0
189.7934,0.5219,50.3426,1,0
189.8924,0.4737,51.3268,1,0
190.0371,0.5057,50.8156,1,0
190.1574,0.4554,50.8564,1,0
190.0454,0.459,50.697,1,0
190.0198,0.4705,50.8135,1,0
189.6877,0.5216,51.6401,1,0
189.9887,0.4262,50.6095,1,0
190.1993,0.3753,51.4084,1,0
190.1457,0.4752,51.5945,1,0
190.0111,0.4565,51.669,1,0
190.1012,0.4009,51.3821,1,0
189.5015,0.4098,51.8473,1,0
189.8424,0.4156,52.3011,1,0
190.1571,0.529,50.7449,1,0
190.126,0.377,50.9123,1,0
190.1115,0.2482,50.9912,1,0
190.0892,0.4552,51.0214,1,0
189.7743,0.4676,51.9117,1,0
190.0238,0.5506,51.4339,1,0
189.9869,0.5126,51.1931,1,0
190.0132,0.5497,50.4324,1,0
189.6027,0.4216,51.2468,1,0
189.7943,0.307,51.5403,1,0
189.6036,0.4564,51.2467,1,0
190.0231,0.4071,50.8219,1,0
189.9897,0.3852,51.8688,1,0
190.2191,0.5232,50.9299,1,0
189.9907,0.4747,51.3611,1,0
190.0162,0.4417,51.7815,1,0
189.8342,0.6522,51.5083,1,0
190.109,0.3913,50.5832,1,0
189.805,0.5025,50.7109,1,0
190.1193,0.4434,50.2881,1,0
190.2272,0.3784,50.8974,1,0
190.2332,0.4678,51.5665,1,0
190.1176,0.4485,52.2962,1,0
190.2268,0.3589,51.3275,1,0
190.0767,0.4233,51.6743,1,0
190.0979,0.5721,51.2601,1,0
190.1434,0.4175,50.492,1,0
190.106,0.551,50.5399,1,0
190.0419,0.3857,50.7922,1,0
189.8592,0.4208,51.0175,1,0
190.0133,0.5489,50.3738,1,0
190.015,0.3568,51.0098,1,0
189.8454,0.4429,51.1459,1,0
190.1405,0.4466,50.5794,1,0
190.2186,0.5256,52.0002,1,0
189.9064,0.3154,51.2108,1,0
189.98,0.4704,50.9264,1,0
189.9276,0.4182,51.3172,1,0
190.1672,0.467,50.6746,1,0
189.9602,0.4211,51.4981,1,0
190.0095,0.4806,50.9338,1,0
190.1195,0.4964,50.9457,1,0
190.2223,0.3533,51.4463,1,0
190.0617,0.5019,51.4952,1,0
190.1017,0.4529,51.2595,1,0
189.9467,0.5312,50.8643,1,0
190.0714,0.4629,51.1282,1,0
190.1843,0.4129,51.5556,1,0
190.0133,0.3925,51.0107,1,0
189.8391,0.3762,51.188,1,0
189.8337,0.4595,51.8425,1,0
189.9825,0.492,50.7308,1,0
189.8738,0.496,51.3725,1,0
189.9131,0.4171,51.6564,1,0
190.0933,0.4461,51.9213,1,0
189.836,0.4048,50.4895,1,0
190.0371,0.5352,52.2236,1,0
190.0397,0.3949,52.2348,1,0
189.8154,0.5044,51.1448,1,0
189.7016,0.438,50.5072,1,0
189.864,0.5737,51.274,1,0
189.7941,0.3056,51.8086,1,0
189.8222,0.3986,51.4753,1,0
189.7198,0.645,51.1667,1,0
189.9974,0.4517,51.5454,1,0
190.1125,0.4338,51.5591,1,0
190.0049,0.56,51.2414,1,0
189.9877,0.3791,51.9218,1,0
190.0915,0.4646,51.3725,1,0
190.0629,0.3391,50.1738,1,0
190.1283,0.4851,51.8084,1,0
189.8602,0.3509,50.7615,1,0
190.0362,0.4807,51.4707,1,0
189.8549,0.5001,51.3248,1,0
190.093,0.5628,51.846,1,0
189.9453,0.5148,50.9136,1,0
189.9204,0.5191,51.0058,1,0
190.2011,0.5367,52.054,1,0
190.0662,0.513,51.8736,1,0
190.1525,0.3709,50.4863,1,0
189.708,0.4154,51.3068,1,0
190.0377,0.4236,51.6807,1,0
189.8301,0.4761,51.0688,1,0
189.5674,0.4833,50.7902,1,0
190.1119,0.4416,51.1617,1,0
189.8627,0.3832,50.6621,1,0
190.2374,0.4885,50.834,1,0
189.983,0.3647,51.1577,1,0
190.0624,0.4616,50.6767,1,0
190.0886,0.3017,51.1193,1,0
189.8758,0.5307,51.785,1,0
189.946,0.4128,51.1967,1,0
189.9377,0.4955,51.6143,1,0
190.0967,0.5655,51.1129,1,0
189.8915,0.5571,51.6852,1,0
189.9588,0.5788,50.4394,1,0
190.0939,0.4033,50.6426,1,0
189.9941,0.4667,51.2463,1,0
190.3451,0.3747,50.7197,1,0
190.1753,0.4225,50.7589,1,0
190.1434,0.6696,51.0976,1,0
189.9514,0.4944,50.5247,1,0
189.8399,0.5551,50.7604,1,0
189.8714,0.2891,50.6204,1,0
189.9279,0.5362,51.1789,1,0
189.8879,0.5056,51.5071,1,0
190.0978,0.5016,51.3748,1,0
189.8358,0.3866,51.6402,1,0
189.8863,0.3835,51.2012,1,0
190.2956,0.4825,50.2919,1,0
189.9368,0.4587,51.3831,1,0
189.939,0.5319,51.1349,1,0
190.0229,0.3495,51.3572,1,0
189.9479,0.3931,51.2462,1,0
190.0433,0.4151,51.6929,1,0
190.0059,0.4073,51.0857,1,0
190.1321,0.5045,50.6266,1,0
189.8903,0.4313,51.4975,1,0
190.3516,0.5293,50.8112,1,0
190.331,0.4686,50.547,1,0
189.8524,0.3436,51.5699,1,0
190.0421,0.2674,51.1344,1,0
189.9708,0.4083,50.9727,1,0
189.7245,0.4371,51.2271,1,0
190.2814,0.4791,51.3886,1,0
189.9534,0.3706,51.9998,1,0
190.0353,0.6349,51.4426,1,0
189.8654,0.4766,51.0458,1,0
189.9603,0.4416,50.9986,1,0
190.0862,0.4513,51.2869,1,0
189.8526,0.3939,51.7183,1,0
190.0022,0.4542,51.0554,1,0
189.8269,0.3975,51.4925,1,0
190.1609,0.5391,51.4154,1,0
190.1288,0.4808,51.1341,1,0
190.2057,0.5201,51.0917,1,0
189.7625,0.3984,50.8301,1,0
190.1304,0.3123,51.1843,1,0
190.1168,0.4343,51.696,1,0
190.2388,0.3999,50.5983,1,0
190.2344,0.3984,50.4501,1,0
189.7646,0.4646,51.7657,1,0
189.6583,0.4208,50.8207,1,0
190.0874,0.4099,51.9894,1,0
189.7866,0.4852,50.9077,1,0
190.0389,0.4031,50.6223,1,0
190.1839,0.3776,50.5001,1,0
189.8864,0.588,50.8113,1,0
190.2845,0.4956,51.2491,1,0
190.0033,0.418,50.9607,1,0
189.8795,0.4698,50.9449,1,0
189.8888,0.3604,51.6397,1,0
190.0147,0.5545,51.1276,1,0
190.0384,0.4942,51.2712,1,0
190.1763,0.565,50.8188,1,0
190.0661,0.5408,51.4335,1,0
189.8172,0.3554,51.1751,1,0
190.1479,0.4838,50.7235,1,0
189.8837,0.4122,52.0498,1,0
189.7671,0.4656,52.057,1,0
190.3557,0.5166,51.9493,1,0
190.0519,0.3595,50.9782,1,0
189.9249,0.3848,50.4346,1,0
190.2602,0.4049,52.3422,1,0
190.0933,0.574,50.7898,1,0
190.185,0.5069,50.7134,1,0
189.7231,0.3629,50.7636,1,0
189.9124,0.4841,50.6717,1,0
190.2807,0.4959,50.9879,1,0
190.0779,0.38,51.5879,1,0
190.0066,0.4345,51.0683,1,0
189.9922,0.5892,51.4423,1,0
190.366,0.5441,51.5621,1,0
189.847,0.4605,52.1543,1,0
190.0951,0.3889,51.2747,1,0
190.0906,0.5059,51.2009,1,0
190.2214,0.4229,50.6784,1,0
189.7216,0.5008,51.8266,1,0
189.914,0.5458,50.8157,1,0
189.932,0.651,51.1534,1,0
189.9033,0.5107,50.9787,1,0
189.9547,0.3699,51.0967,1,0
189.9276,0.6271,50.4711,1,0
190.069,0.4899,52.1064,1,0
189.8227,0.4456,51.2762,1,0
190.2675,0.4395,50.501,1,0
189.9716,0.398,51.9947,1,0
189.7532,0.4148,50.695,1,0
189.985,0.5435,51.1317,1,0
190.0363,0.4151,51.3514,1,0
190.0376,0.4061,51.8374,1,0
190.0263,0.4907,51.2413,1,0
190.1572,0.432,51.6959,1,0
189.8779,0.4198,51.4936,1,0
189.9774,0.4114,51.719,1,0
189.7096,0.4951,50.8664,1,0
189.9608,0.4367,51.0704,1,0
190.0492,0.5142,49.9612,0,1
190.0001,0.4788,51.523,1,0
189.9604,0.4643,51.2881,1,0
189.8201,0.4205,50.6417,1,0
189.5648,0.5312,51.2094,1,0
190.136,0.1508,49.9377,0,2
189.977,0.5589,51.3158,1,0
189.8165,0.4836,51.7836,1,0
189.9904,0.4203,51.1259,1,0
189.945,0.4986,51.7878,1,0
190.0618,0.4526,50.7615,1,0
189.994,0.5843,50.9185,1,0
190.0797,0.5483,50.9715,1,0
189.9096,0.3777,50.2029,1,0
190.2001,0.4516,50.135,1,0
189.9417,0.4176,51.0718,1,0
190.0428,0.4615,51.4316,1,0
189.8732,0.4318,50.687,1,0
190.0544,0.3696,51.2608,1,0
190.035,0.4875,50.6174,1,0
190.0387,0.4454,50.9232,1,0
189.9236,0.5167,50.3473,1,0
190.2894,0.5371,50.9307,1,0
190.1043,0.5739,51.2697,1,0
190.1268,0.4673,51.7025,1,0
190.1437,0.4717,50.8123,1,0
190.112,0.378,52.5833,1,0
190.0001,0.5361,51.2607,1,0
189.9886,0.4682,51.2889,1,0
189.8996,0.4419,51.5345,1,0
189.8739,0.4127,51.3683,1,0
189.8216,0.4566,51.5605,1,0
190.1524,0.5843,52.2649,1,0
190.2577,0.5662,51.615,1,0
189.9984,0.4216,51.5356,1,0
190.0346,0.3374,50.806,1,0
190.0461,0.3754,51.0274,1,0
189.8766,0.6162,51.0348,1,0
190.2514,0.3784,51.5489,1,0
189.8278,0.4571,50.2706,1,0
190.0766,0.5361,51.0595,1,0
189.6325,0.5603,51.1038,1,0
189.9064,0.3919,50.888,1,0
189.5631,0.397,51.281,1,0
189.9986,0.4842,51.1584,1,0
190.0332,0.4005,50.9655,1,0
190.2801,0.3776,50.6526,1,0
190.1173,0.5562,51.238,1,0
189.9604,0.5106,51.348,1,0
190.1908,0.4318,51.9187,1,0
190.1322,0.4273,50.3572,1,0
189.9603,0.615,51.4586,1,0
190.3071,0.4916,50.6414,1,0
