coded_wheel_diameter_mm,coded_bearing_preload_n,coded_body_mass_g,coded_rear_balance_pct,coded_guide_clearance_mm,coded_launch_alignment_deg,wheel_diameter_mm,bearing_preload_n,body_mass_g,rear_balance_pct,guide_clearance_mm,launch_alignment_deg,time_s
1,1,-1,1,-1,-1,27.2,0.55,48.5,55.0,0.25,-1.0,1.0731386314242415
1,1,-1,1,-1,1,27.2,0.55,48.5,55.0,0.25,1.0,1.061806676988653
1,1,-1,1,1,-1,27.2,0.55,48.5,55.0,0.75,-1.0,1.0958107165652708
1,1,-1,1,1,1,27.2,0.55,48.5,55.0,0.75,1.0,1.084685115789786
1,1,1,-1,-1,-1,27.2,0.55,53.0,46.0,0.25,-1.0,1.0959783147523303
1,1,1,-1,-1,1,27.2,0.55,53.0,46.0,0.25,1.0,1.1047185159934352
1,1,1,-1,1,-1,27.2,0.55,53.0,46.0,0.75,-1.0,1.1157382667882016
1,1,1,-1,1,1,27.2,0.55,53.0,46.0,0.75,1.0,1.126466476224873
1,1,1,1,-1,-1,27.2,0.55,53.0,55.0,0.25,-1.0,1.0760094606889095
1,1,1,1,-1,1,27.2,0.55,53.0,55.0,0.25,1.0,1.0847075090533194
1,1,1,1,1,-1,27.2,0.55,53.0,55.0,0.75,-1.0,1.0973093259116664
1,1,1,1,1,1,27.2,0.55,53.0,55.0,0.75,1.0,1.1075908713542644
